symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
2,108.3,audi,gas,turbo,four,hatchback,rwd,front,98.7,169.7,65.5,55.8,4449,ohcv,four,213,mpfi,3.43,2.95,12.6,161.0,5033.0,13,21,47363.0
0,124.2,saab,gas,std,two,sedan,rwd,front,96.6,162.9,68.3,56.4,4155,ohc,four,207,mpfi,3.48,3.05,10.7,130.0,5234.0,13,19,41845.0
0,,saab,gas,std,four,sedan,fwd,front,94.5,166.4,63.4,52.9,4110,ohc,four,209,mpfi,3.21,3.53,9.4,114.0,4558.0,13,20,39885.0
1,109.9,porsche,gas,std,two,wagon,fwd,front,99.2,165.9,68.7,52.6,4525,ohc,four,225,mpfi,3.22,3.23,7.0,122.0,4464.0,13,20,49362.0
-1,168.8,honda,gas,std,two,hatchback,rwd,front,88.3,153.6,67.1,52.3,3618,ohc,five,225,2bbl,3.76,3.18,7.0,142.0,5235.0,13,21,38568.0
-1,88.9,saab,gas,turbo,four,sedan,fwd,front,90.9,152.2,67.6,55.7,4362,l,four,182,2bbl,3.4,3.0,8.8,136.0,5055.0,13,19,38660.0
2,172.5,porsche,gas,std,four,sedan,fwd,front,94.4,158.5,66.2,58.8,4288,ohc,six,299,mpfi,3.29,3.25,8.0,191.0,4898.0,13,16,58185.0
-2,,porsche,gas,std,two,sedan,rwd,front,104.1,185.1,68.1,50.8,4399,ohcv,four,212,mpfi,3.72,2.91,7.3,139.0,4928.0,13,19,46993.0
3,182.1,alfa-romero,gas,std,four,sedan,fwd,front,105.5,176.1,67.2,52.5,4321,ohc,four,220,mpfi,3.14,3.19,10.7,139.0,4583.0,13,19,42809.0
1,132.9,porsche,gas,std,four,convertible,fwd,front,97.6,159.2,67.4,51.2,4401,ohc,four,214,1bbl,2.93,3.94,7.0,119.0,6043.0,13,17,48533.0
-1,86.4,jaguar,gas,turbo,two,hatchback,fwd,front,100.1,171.1,68.2,52.4,4604,ohc,four,220,2bbl,3.33,3.03,10.9,165.0,6172.0,13,20,53004.0
0,149.6,jaguar,gas,turbo,two,wagon,rwd,front,98.7,170.8,67.8,53.0,4489,ohc,four,237,2bbl,3.27,3.32,10.9,173.0,4247.0,13,22,52354.0
